Query	Annotation	Similarity_Score	Status
tr|A7TBS3|A7TBS3_NEMVE Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g153959 PE=4 SV=1 Split=0	tr|A7TBS3|A7TBS3_NEMVE Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g153959 PE=4 SV=1 Split=0	1.0	success
tr|A7TBS3|A7TBS3_NEMVE Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g153959 PE=4 SV=1 Split=0	tr|A7TBE3|A7TBE3_NEMVE Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g153459 PE=4 SV=1 Split=0	0.992987334728241	success
tr|A7TBS3|A7TBS3_NEMVE Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g153959 PE=4 SV=1 Split=0	tr|Q91N79|Q91N79_ASF Major capsid protein (Fragment) OS=African swine fever virus GN=VP72 PE=4 SV=1 Split=0	0.9918478727340698	success
tr|A7TBS3|A7TBS3_NEMVE Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g153959 PE=4 SV=1 Split=0	tr|G2WIZ4|G2WIZ4_YEASK K7_04736p OS=Saccharomyces cerevisiae (strain Kyokai no. 7 / NBRC 101557) GN=K7_04736 PE=4 SV=1 Split=0	0.9902825355529785	success
tr|A7TBS3|A7TBS3_NEMVE Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g153959 PE=4 SV=1 Split=0	tr|A0A141RBE4|A0A141RBE4_9BACT Uncharacterized protein (Fragment) OS=uncultured bacterium PE=4 SV=1 Split=0	0.9874024391174316	success
tr|A7TBS3|A7TBS3_NEMVE Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g153959 PE=4 SV=1 Split=0	tr|D1MYY3|D1MYY3_PINFU Nacrein (Fragment) OS=Pinctada fucata PE=4 SV=1 Split=0	0.9870780110359192	success
tr|A7TBS3|A7TBS3_NEMVE Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g153959 PE=4 SV=1 Split=0	tr|A0A0R0GZK8|A0A0R0GZK8_SOYBN Uncharacterized protein OS=Glycine max GN=GLYMA_12G007400 PE=4 SV=1 Split=0	0.9866707921028137	success
tr|A7TBS3|A7TBS3_NEMVE Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g153959 PE=4 SV=1 Split=0	tr|A0A0G3RA06|A0A0G3RA06_KLEOX Anti-adapter protein IraM OS=Klebsiella oxytoca GN=SK88_00678 PE=4 SV=1 Split=0	0.9866565465927124	success
tr|A7TBS3|A7TBS3_NEMVE Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g153959 PE=4 SV=1 Split=0	tr|G9VYW6|G9VYW6_9BETA Envelope glycoprotein 24 OS=Panine herpesvirus 2 GN=UL74A PE=4 SV=1 Split=0	0.9860543608665466	success
tr|A7TBS3|A7TBS3_NEMVE Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g153959 PE=4 SV=1 Split=0	tr|E5FNU3|E5FNU3_TREPE Putative uncharacterized protein OS=Treponema pallidum subsp. pertenue PE=4 SV=1 Split=0	0.9854978919029236	success
