Query	Annotation	Similarity_Score	Status
tr|A7TBS3|A7TBS3_NEMVE Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g153959 PE=4 SV=1 Split=0	tr|A7TBS3|A7TBS3_NEMVE Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g153959 PE=4 SV=1 Split=0	0.9999994039535522	success
tr|A7TBS3|A7TBS3_NEMVE Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g153959 PE=4 SV=1 Split=0	tr|A7TBE3|A7TBE3_NEMVE Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g153459 PE=4 SV=1 Split=0	0.9979115128517151	success
tr|A7TBS3|A7TBS3_NEMVE Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g153959 PE=4 SV=1 Split=0	tr|G2WIZ4|G2WIZ4_YEASK K7_04736p OS=Saccharomyces cerevisiae (strain Kyokai no. 7 / NBRC 101557) GN=K7_04736 PE=4 SV=1 Split=0	0.9944412112236023	success
tr|A7TBS3|A7TBS3_NEMVE Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g153959 PE=4 SV=1 Split=0	tr|Q91N79|Q91N79_ASF Major capsid protein (Fragment) OS=African swine fever virus GN=VP72 PE=4 SV=1 Split=0	0.9941882491111755	success
tr|A7TBS3|A7TBS3_NEMVE Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g153959 PE=4 SV=1 Split=0	tr|H3G6J5|H3G6J5_PHYRM Uncharacterized protein OS=Phytophthora ramorum GN=gwEuk.2862.1.1 PE=4 SV=1 Split=0	0.9937024712562561	success
tr|A7TBS3|A7TBS3_NEMVE Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g153959 PE=4 SV=1 Split=0	tr|B3GQB3|B3GQB3_PLRV P6 OS=Potato leafroll virus PE=4 SV=1 Split=0	0.993247926235199	success
tr|A7TBS3|A7TBS3_NEMVE Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g153959 PE=4 SV=1 Split=0	tr|A0A0R0GZK8|A0A0R0GZK8_SOYBN Uncharacterized protein OS=Glycine max GN=GLYMA_12G007400 PE=4 SV=1 Split=0	0.9931522607803345	success
tr|A7TBS3|A7TBS3_NEMVE Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g153959 PE=4 SV=1 Split=0	sp|O83374|Y355_TREPA Uncharacterized protein TP_0355 OS=Treponema pallidum (strain Nichols) GN=TP_0355 PE=4 SV=1 Split=0	0.993095874786377	success
tr|A7TBS3|A7TBS3_NEMVE Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g153959 PE=4 SV=1 Split=0	tr|H6KV71|H6KV71_TREPD Uncharacterized protein OS=Treponema pallidum subsp. pertenue (strain CDC2) GN=TPECDC2_0355 PE=4 SV=1 Split=0	0.993095874786377	success
tr|A7TBS3|A7TBS3_NEMVE Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g153959 PE=4 SV=1 Split=0	tr|A0A0F7CWF7|A0A0F7CWF7_HHV3 ORF58 OS=Human herpesvirus 3 GN=ORF58 PE=4 SV=1 Split=0	0.9924120306968689	success
tr|Q8WWJ3|Q8WWJ3_HUMAN T cell surface glycoprotein CD6 isoform b OS=Homo sapiens GN=CD6 PE=4 SV=1 Split=0	tr|G7PPY8|G7PPY8_MACFA T12 OS=Macaca fascicularis GN=EGM_05537 PE=4 SV=1 Split=0	0.9987077713012695	success
tr|Q8WWJ3|Q8WWJ3_HUMAN T cell surface glycoprotein CD6 isoform b OS=Homo sapiens GN=CD6 PE=4 SV=1 Split=0	tr|G1LLW5|G1LLW5_AILME Uncharacterized protein (Fragment) OS=Ailuropoda melanoleuca GN=CD6 PE=4 SV=1 Split=0	0.995597779750824	success
tr|Q8WWJ3|Q8WWJ3_HUMAN T cell surface glycoprotein CD6 isoform b OS=Homo sapiens GN=CD6 PE=4 SV=1 Split=0	tr|F1MU15|F1MU15_BOVIN Uncharacterized protein OS=Bos taurus GN=CD6 PE=4 SV=2 Split=0	0.9951339960098267	success
tr|Q8WWJ3|Q8WWJ3_HUMAN T cell surface glycoprotein CD6 isoform b OS=Homo sapiens GN=CD6 PE=4 SV=1 Split=0	tr|L8I3N4|L8I3N4_9CETA T-cell differentiation antigen CD6 OS=Bos mutus GN=M91_18530 PE=4 SV=1 Split=0	0.9946909546852112	success
tr|Q8WWJ3|Q8WWJ3_HUMAN T cell surface glycoprotein CD6 isoform b OS=Homo sapiens GN=CD6 PE=4 SV=1 Split=0	tr|W5Q3F8|W5Q3F8_SHEEP Uncharacterized protein OS=Ovis aries GN=CD6 PE=4 SV=1 Split=0	0.994081974029541	success
tr|Q8WWJ3|Q8WWJ3_HUMAN T cell surface glycoprotein CD6 isoform b OS=Homo sapiens GN=CD6 PE=4 SV=1 Split=0	tr|L8IRZ1|L8IRZ1_9CETA Metalloendopeptidase (Fragment) OS=Bos mutus GN=M91_04578 PE=3 SV=1 Split=0	0.9807790517807007	success
tr|Q8WWJ3|Q8WWJ3_HUMAN T cell surface glycoprotein CD6 isoform b OS=Homo sapiens GN=CD6 PE=4 SV=1 Split=0	tr|F7IPR9|F7IPR9_CALJA Metalloendopeptidase OS=Callithrix jacchus GN=ASTL PE=3 SV=1 Split=0	0.9801932573318481	success
tr|Q8WWJ3|Q8WWJ3_HUMAN T cell surface glycoprotein CD6 isoform b OS=Homo sapiens GN=CD6 PE=4 SV=1 Split=0	tr|K7D403|K7D403_PANTR Semaphorin 7A, GPI membrane anchor (John Milton Hagen blood group) OS=Pan troglodytes GN=SEMA7A PE=2 SV=1 Split=0	0.9765804409980774	success
tr|Q8WWJ3|Q8WWJ3_HUMAN T cell surface glycoprotein CD6 isoform b OS=Homo sapiens GN=CD6 PE=4 SV=1 Split=0	tr|G3T0G5|G3T0G5_LOXAF Uncharacterized protein OS=Loxodonta africana GN=RGS3 PE=4 SV=1 Split=0	0.9763162136077881	success
tr|Q8WWJ3|Q8WWJ3_HUMAN T cell surface glycoprotein CD6 isoform b OS=Homo sapiens GN=CD6 PE=4 SV=1 Split=0	tr|A0A0G2KB04|A0A0G2KB04_RAT Transmembrane protein 59-like OS=Rattus norvegicus GN=Tmem59l PE=4 SV=1 Split=0	0.974921464920044	success
tr|H6QJ35|H6QJ35_RICMA Peptide chain release factor 1 OS=Rickettsia massiliae str. AZT80 GN=prfA PE=3 SV=1 Split=0	tr|A0A0B7J5R9|A0A0B7J5R9_9RICK Peptide chain release factor 1 OS=Rickettsia monacensis GN=prfA PE=3 SV=1 Split=0	0.9995667338371277	success
tr|H6QJ35|H6QJ35_RICMA Peptide chain release factor 1 OS=Rickettsia massiliae str. AZT80 GN=prfA PE=3 SV=1 Split=0	tr|S5PD77|S5PD77_ANAPH Peptide chain release factor 1 OS=Anaplasma phagocytophilum str. JM GN=prfA PE=3 SV=1 Split=0	0.9919471740722656	success
tr|H6QJ35|H6QJ35_RICMA Peptide chain release factor 1 OS=Rickettsia massiliae str. AZT80 GN=prfA PE=3 SV=1 Split=0	tr|S6GAS6|S6GAS6_ANAPH Peptide chain release factor 1 OS=Anaplasma phagocytophilum str. CRT38 GN=prfA PE=3 SV=1 Split=0	0.991802990436554	success
tr|H6QJ35|H6QJ35_RICMA Peptide chain release factor 1 OS=Rickettsia massiliae str. AZT80 GN=prfA PE=3 SV=1 Split=0	tr|L0X2S2|L0X2S2_9SPIR Peptide chain release factor 1 OS=Brachyspira hampsonii 30446 GN=prfA PE=3 SV=1 Split=0	0.9867439866065979	success
tr|H6QJ35|H6QJ35_RICMA Peptide chain release factor 1 OS=Rickettsia massiliae str. AZT80 GN=prfA PE=3 SV=1 Split=0	sp|B2A3J0|RF1_NATTJ Peptide chain release factor 1 OS=Natranaerobius thermophilus (strain ATCC BAA-1301 / DSM 18059 / JW/NM-WN-LF) GN=prfA PE=3 SV=1 Split=0	0.986602246761322	success
tr|H6QJ35|H6QJ35_RICMA Peptide chain release factor 1 OS=Rickettsia massiliae str. AZT80 GN=prfA PE=3 SV=1 Split=0	tr|M2RKS9|M2RKS9_TREDN Peptide chain release factor 1 OS=Treponema denticola US-Trep GN=prfA PE=3 SV=1 Split=0	0.9844533801078796	success
tr|H6QJ35|H6QJ35_RICMA Peptide chain release factor 1 OS=Rickettsia massiliae str. AZT80 GN=prfA PE=3 SV=1 Split=0	tr|M2C8U4|M2C8U4_TREDN Peptide chain release factor 1 OS=Treponema denticola ATCC 35404 GN=prfA PE=3 SV=1 Split=0	0.9842517375946045	success
tr|H6QJ35|H6QJ35_RICMA Peptide chain release factor 1 OS=Rickettsia massiliae str. AZT80 GN=prfA PE=3 SV=1 Split=0	tr|A0A0F6MRL8|A0A0F6MRL8_TREDN Peptide chain release factor 1 OS=Treponema denticola OTK GN=prfA PE=3 SV=1 Split=0	0.9841555953025818	success
